name,url,price
Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,10345.98
Ethereum,https://coinmarketcap.com/currencies/ethereum/,363.89
Tether,https://coinmarketcap.com/currencies/tether/,1.00
XRP,https://coinmarketcap.com/currencies/xrp/,0.242753
Polkadot,https://coinmarketcap.com/currencies/polkadot-new/,5.17
Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,29.93
Chainlink,https://coinmarketcap.com/currencies/chainlink/,11.77
Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,222.45
Crypto.com Coin,https://coinmarketcap.com/currencies/crypto-com-coin/,0.160428
Litecoin,https://coinmarketcap.com/currencies/litecoin/,47.57
Bitcoin SV,https://coinmarketcap.com/currencies/bitcoin-sv/,160.76
EOS,https://coinmarketcap.com/currencies/eos/,2.71
Cardano,https://coinmarketcap.com/currencies/cardano/,0.094960
TRON,https://coinmarketcap.com/currencies/tron/,0.030796
USD Coin,https://coinmarketcap.com/currencies/usd-coin/,1.00
Tezos,https://coinmarketcap.com/currencies/tezos/,2.56
Stellar,https://coinmarketcap.com/currencies/stellar/,0.079699
Monero,https://coinmarketcap.com/currencies/monero/,84.83
Neo,https://coinmarketcap.com/currencies/neo/,19.88
UNUS SED LEO,https://coinmarketcap.com/currencies/unus-sed-leo/,1.24
yearn.finance,https://coinmarketcap.com/currencies/yearn-finance/,39511.35
NEM,https://coinmarketcap.com/currencies/nem/,0.118527
Cosmos,https://coinmarketcap.com/currencies/cosmos/,5.16
Huobi Token,https://coinmarketcap.com/currencies/huobi-token/,4.79
UMA,https://coinmarketcap.com/currencies/uma/,16.88
Aave,https://coinmarketcap.com/currencies/aave/,0.687073
IOTA,https://coinmarketcap.com/currencies/iota/,0.280017
Dash,https://coinmarketcap.com/currencies/dash/,74.99
VeChain,https://coinmarketcap.com/currencies/vechain/,0.012782
Zcash,https://coinmarketcap.com/currencies/zcash/,62.13
Wrapped Bitcoin,https://coinmarketcap.com/currencies/wrapped-bitcoin/,10333.92
Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,5.04
Ontology,https://coinmarketcap.com/currencies/ontology/,0.772728
Synthetix Network Token,https://coinmarketcap.com/currencies/synthetix-network-token/,5.41
OMG Network,https://coinmarketcap.com/currencies/omg/,3.71
Flexacoin,https://coinmarketcap.com/currencies/flexacoin/,0.012659
Maker,https://coinmarketcap.com/currencies/maker/,482.57
THETA,https://coinmarketcap.com/currencies/theta/,0.551473
Dai,https://coinmarketcap.com/currencies/multi-collateral-dai/,1.03
TrueUSD,https://coinmarketcap.com/currencies/trueusd/,1.00
Compound,https://coinmarketcap.com/currencies/compound/,161.55
Algorand,https://coinmarketcap.com/currencies/algorand/,0.367898
OKB,https://coinmarketcap.com/currencies/okb/,6.43
FTX Token,https://coinmarketcap.com/currencies/ftx-token/,3.93
Basic Attention Token,https://coinmarketcap.com/currencies/basic-attention-token/,0.251131
Celo,https://coinmarketcap.com/currencies/celo/,2.81
Dogecoin,https://coinmarketcap.com/currencies/dogecoin/,0.002750
0x,https://coinmarketcap.com/currencies/0x/,0.480503
BitTorrent,https://coinmarketcap.com/currencies/bittorrent/,0.000348
HedgeTrade,https://coinmarketcap.com/currencies/hedgetrade/,1.01
Kusama,https://coinmarketcap.com/currencies/kusama/,40.20
Binance USD,https://coinmarketcap.com/currencies/binance-usd/,1.00
Loopring,https://coinmarketcap.com/currencies/loopring/,0.263016
Energy Web Token,https://coinmarketcap.com/currencies/energy-web-token/,10.27
NXM,https://coinmarketcap.com/currencies/nxm/,52.34
DigiByte,https://coinmarketcap.com/currencies/digibyte/,0.021555
Waves,https://coinmarketcap.com/currencies/waves/,2.82
ICON,https://coinmarketcap.com/currencies/icon/,0.501389
Ren,https://coinmarketcap.com/currencies/ren/,0.309455
Qtum,https://coinmarketcap.com/currencies/qtum/,2.60
SushiSwap,https://coinmarketcap.com/currencies/sushiswap/,2.24
Paxos Standard,https://coinmarketcap.com/currencies/paxos-standard/,1.00
Kyber Network,https://coinmarketcap.com/currencies/kyber-network/,1.20
DFI.Money,https://coinmarketcap.com/currencies/yearn-finance-ii/,5897.48
Hedera Hashgraph,https://coinmarketcap.com/currencies/hedera-hashgraph/,0.036553
Augur,https://coinmarketcap.com/currencies/augur/,17.26
Elrond,https://coinmarketcap.com/currencies/elrond-egld/,12.97
Lisk,https://coinmarketcap.com/currencies/lisk/,1.42
Band Protocol,https://coinmarketcap.com/currencies/band-protocol/,8.25
Zilliqa,https://coinmarketcap.com/currencies/zilliqa/,0.016250
Decred,https://coinmarketcap.com/currencies/decred/,13.72
Aragon,https://coinmarketcap.com/currencies/aragon/,4.98
ZB Token,https://coinmarketcap.com/currencies/zb-token/,0.341575
Balancer,https://coinmarketcap.com/currencies/balancer/,21.73
HUSD,https://coinmarketcap.com/currencies/husd/,1.00
Bitcoin Gold,https://coinmarketcap.com/currencies/bitcoin-gold/,8.35
Arweave,https://coinmarketcap.com/currencies/arweave/,4.39
Siacoin,https://coinmarketcap.com/currencies/siacoin/,0.003272
Ampleforth,https://coinmarketcap.com/currencies/ampleforth/,0.774876
Enjin Coin,https://coinmarketcap.com/currencies/enjin-coin/,0.161525
Ocean Protocol,https://coinmarketcap.com/currencies/ocean-protocol/,0.339042
Terra,https://coinmarketcap.com/currencies/terra-luna/,0.316020
Swipe,https://coinmarketcap.com/currencies/swipe/,1.67
Revain,https://coinmarketcap.com/currencies/revain/,0.010576
Ravencoin,https://coinmarketcap.com/currencies/ravencoin/,0.017024
Golem,https://coinmarketcap.com/currencies/golem-network-tokens/,0.121645
Decentraland,https://coinmarketcap.com/currencies/decentraland/,0.080796
Celsius,https://coinmarketcap.com/currencies/celsius/,0.484458
Blockstack,https://coinmarketcap.com/currencies/blockstack/,0.189062
Serum,https://coinmarketcap.com/currencies/serum/,2.32
Nano,https://coinmarketcap.com/currencies/nano/,0.864999
Bitcoin Diamond,https://coinmarketcap.com/currencies/bitcoin-diamond/,0.615527
Reserve Rights,https://coinmarketcap.com/currencies/reserve-rights/,0.016630
CyberVein,https://coinmarketcap.com/currencies/cybervein/,0.105708
Numeraire,https://coinmarketcap.com/currencies/numeraire/,36.66
Solana,https://coinmarketcap.com/currencies/solana/,3.13
THORChain,https://coinmarketcap.com/currencies/thorchain/,0.669785
IOST,https://coinmarketcap.com/currencies/iostoken/,0.006781
Bytom,https://coinmarketcap.com/currencies/bytom/,0.076551
Nervos Network,https://coinmarketcap.com/currencies/nervos-network/,0.004930
